2021-03-13 13:44:02 pid:1 Worker process terminated
2021-03-13 13:44:04 pid:1 Worker process terminated
2021-03-13 13:44:06 pid:1 Worker process terminated
2021-03-13 13:44:08 pid:1 Worker process terminated
2021-03-13 13:44:15 pid:1 Worker process terminated
2021-03-13 13:45:09 pid:1 Worker process terminated
2021-03-14 14:46:08 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:46:09 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:46:10 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:46:11 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:46:12 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:46:14 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:46:15 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:46:16 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:46:17 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:46:18 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:46:19 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:46:44 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:46:45 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:46:46 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:46:47 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:46:48 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:46:49 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:22 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:23 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:24 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:25 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:26 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:27 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:28 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:29 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:30 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:31 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:32 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:33 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:34 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:35 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:36 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:37 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:38 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:39 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:40 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:41 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:42 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:43 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:44 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:45 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:46 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:47 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:48 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:49 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:50 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:51 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:52 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:53 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:54 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:55 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:56 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:57 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:58 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:47:59 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:00 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:01 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:02 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:03 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:04 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:05 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:06 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:07 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:08 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:09 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:10 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:11 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:12 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:13 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:14 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:15 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:16 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:17 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:18 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:19 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:20 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:21 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:22 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:23 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:24 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:25 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:26 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:27 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:27 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:28 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:28 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:29 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:29 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:30 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:30 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:31 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:31 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:32 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:32 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:33 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:33 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:34 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:34 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:35 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:36 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:37 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:38 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:39 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:40 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:41 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:42 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:43 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:44 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:45 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:46 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:47 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:48 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:49 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:50 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:51 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:52 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:53 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:54 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:55 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:56 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:57 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:58 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:48:59 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:00 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:01 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:02 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:03 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:04 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:05 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:06 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:07 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:08 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:09 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:10 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:11 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:12 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:13 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:14 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:15 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:16 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:17 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:18 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:19 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:20 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:21 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:22 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:23 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:24 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:25 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:26 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:27 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:28 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:29 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:30 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:31 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:32 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:33 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:34 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:35 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:36 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:37 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:38 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:39 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:40 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:41 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:42 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:43 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:44 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:45 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:46 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:47 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:48 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:49 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:50 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:51 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:52 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:53 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:54 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:55 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:56 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:57 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:58 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:49:59 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:50:00 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:50:01 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:50:02 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:50:03 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:50:04 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:50:05 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:50:06 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:50:07 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:50:08 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:50:09 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:50:10 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:50:11 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:50:12 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:50:13 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:50:14 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:50:15 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:50:16 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:50:17 pid:175 Workerman[start.php] start in DEBUG mode
2021-03-14 14:50:17 pid:1 Gateway: Worker->name conflict. Key:127.0.0.1:LocationBusinessWorker:0
2021-03-14 14:50:17 pid:187 Error: Undefined class constant 'MYSQL_ATTR_INIT_COMMAND' in /mnt/d/phpstudy_pro/WWW/middle_location_box/vendor/workerman/mysql/src/Connection.php:1710
Stack trace:
#0 /mnt/d/phpstudy_pro/WWW/middle_location_box/vendor/workerman/mysql/src/Connection.php(1698): Workerman\MySQL\Connection->connect()
#1 /mnt/d/phpstudy_pro/WWW/middle_location_box/Applications/Location/Events.php(47): Workerman\MySQL\Connection->__construct('127.0.0.1', '3306', 'root', 'root', 'location')
#2 [internal function]: Events::onWorkerStart(Object(GatewayWorker\BusinessWorker))
#3 /mnt/d/phpstudy_pro/WWW/middle_location_box/vendor/workerman/gateway-worker/src/BusinessWorker.php(227): call_user_func('Events::onWorke...', Object(GatewayWorker\BusinessWorker))
#4 /mnt/d/phpstudy_pro/WWW/middle_location_box/vendor/workerman/workerman/Worker.php(2415): GatewayWorker\BusinessWorker->onWorkerStart(Object(GatewayWorker\BusinessWorker))
#5 /mnt/d/phpstudy_pro/WWW/middle_location_box/vendor/workerman/gateway-worker/src/BusinessWorker.php(197): Workerman\Worker->run()
#6 /mnt/d/phpstudy_pro/WWW/middle_location_box/vendor/workerman/workerman/Worker.php(1555): GatewayWorker\BusinessWorker->run()
#7 /mnt/d/phpstudy_pro/WWW/middle_location_box/vendor/workerman/workerman/Worker.php(1385): Workerman\Worker::forkOneWorkerForLinux(Object(GatewayWorker\BusinessWorker))
#8 /mnt/d/phpstudy_pro/WWW/middle_location_box/vendor/workerman/workerman/Worker.php(1359): Workerman\Worker::forkWorkersForLinux()
#9 /mnt/d/phpstudy_pro/WWW/middle_location_box/vendor/workerman/workerman/Worker.php(542): Workerman\Worker::forkWorkers()
#10 /mnt/d/phpstudy_pro/WWW/middle_location_box/start.php(37): Workerman\Worker::runAll()
#11 {main}
2021-03-14 14:50:17 pid:188 Error: Undefined class constant 'MYSQL_ATTR_INIT_COMMAND' in /mnt/d/phpstudy_pro/WWW/middle_location_box/vendor/workerman/mysql/src/Connection.php:1710
Stack trace:
#0 /mnt/d/phpstudy_pro/WWW/middle_location_box/vendor/workerman/mysql/src/Connection.php(1698): Workerman\MySQL\Connection->connect()
#1 /mnt/d/phpstudy_pro/WWW/middle_location_box/Applications/Location/Events.php(47): Workerman\MySQL\Connection->__construct('127.0.0.1', '3306', 'root', 'root', 'location')
#2 [internal function]: Events::onWorkerStart(Object(GatewayWorker\BusinessWorker))
#3 /mnt/d/phpstudy_pro/WWW/middle_location_box/vendor/workerman/gateway-worker/src/BusinessWorker.php(227): call_user_func('Events::onWorke...', Object(GatewayWorker\BusinessWorker))
#4 /mnt/d/phpstudy_pro/WWW/middle_location_box/vendor/workerman/workerman/Worker.php(2415): GatewayWorker\BusinessWorker->onWorkerStart(Object(GatewayWorker\BusinessWorker))
#5 /mnt/d/phpstudy_pro/WWW/middle_location_box/vendor/workerman/gateway-worker/src/BusinessWorker.php(197): Workerman\Worker->run()
#6 /mnt/d/phpstudy_pro/WWW/middle_location_box/vendor/workerman/workerman/Worker.php(1555): GatewayWorker\BusinessWorker->run()
#7 /mnt/d/phpstudy_pro/WWW/middle_location_box/vendor/workerman/workerman/Worker.php(1385): Workerman\Worker::forkOneWorkerForLinux(Object(GatewayWorker\BusinessWorker))
#8 /mnt/d/phpstudy_pro/WWW/middle_location_box/vendor/workerman/workerman/Worker.php(1359): Workerman\Worker::forkWorkersForLinux()
#9 /mnt/d/phpstudy_pro/WWW/middle_location_box/vendor/workerman/workerman/Worker.php(542): Workerman\Worker::forkWorkers()
#10 /mnt/d/phpstudy_pro/WWW/middle_location_box/start.php(37): Workerman\Worker::runAll()
#11 {main}
2021-03-14 14:50:17 pid:185 Error: Undefined class constant 'MYSQL_ATTR_INIT_COMMAND' in /mnt/d/phpstudy_pro/WWW/middle_location_box/vendor/workerman/mysql/src/Connection.php:1710
Stack trace:
